[2016-09-15 16:12:50,366] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2016-09-15 16:13:40,935] TRACE Controller 1 epoch 1 received response {error_code=0} for a request sent to broker andresgomezfrr.redborder.lan:9093 (id: 1 rack: null) (state.change.logger)
[2016-09-15 16:16:15,936] TRACE Controller 1 epoch 1 changed partition [PRUEBA,0] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:15,956] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [PRUEBA,0] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:15,992] TRACE Controller 1 epoch 1 changed partition [PRUEBA,0] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:15,994] TRACE Controller 1 epoch 1 sending become-leader LeaderAndIsr request (Leader:1,ISR:1,LeaderEpoch:0,ControllerEpoch:1) to broker 1 for partition [PRUEBA,0] (state.change.logger)
[2016-09-15 16:16:16,000] TRACE Controller 1 epoch 1 sending UpdateMetadata request (Leader:1,ISR:1,LeaderEpoch:0,ControllerEpoch:1) to broker 1 for partition PRUEBA-0 (state.change.logger)
[2016-09-15 16:16:16,009] TRACE Broker 1 received LeaderAndIsr request PartitionState(controllerEpoch=1, leader=1, leaderEpoch=0, isr=[1], zkVersion=0, replicas=[1]) correlation id 1 from controller 1 epoch 1 for partition [PRUEBA,0] (state.change.logger)
[2016-09-15 16:16:16,010] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [PRUEBA,0] from NewReplica to OnlineReplica (state.change.logger)
[2016-09-15 16:16:16,052] TRACE Broker 1 handling LeaderAndIsr request correlationId 1 from controller 1 epoch 1 starting the become-leader transition for partition [PRUEBA,0] (state.change.logger)
[2016-09-15 16:16:16,168] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,32] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,169] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,16] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,169] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,49] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,169] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,44] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,170] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,28] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,170] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,17] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,171] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,23] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,171] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,7] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,171] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,4] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,171] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,29] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,172] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,35] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,172] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,3] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
